stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_direction,stop_timezone,vehicle_type,platform_code
created_stop_76,Stop 76,31.954486,35.832901,,شارع ممدوح اسحاقات ممر 1,,,0,,,,,,
created_stop_77,Stop 77,31.955099,35.831234,,شارع وادي السير,,,0,,,,,,
created_stop_78,Stop 78,31.955804,35.832316,,شارع سالم رحيل,,,0,,,,,,
created_stop_79,Stop 79,31.953013,35.909897,,شارع عبد المنعم رياض,,,0,,,,,,
created_stop_80,Stop 80,31.951167,35.908904,,,,,0,,,,,,
created_stop_81,Stop 81,31.94927,35.907967,,شارع عبد المنعم رياض,,,0,,,,,,
created_stop_82,Stop 82,31.948509,35.909151,,,,,0,,,,,,
created_stop_83,Stop 83,31.949233,35.910853,,شارع عبد المنعم رياض,,,0,,,,,,
created_stop_84,Stop 84,31.949862,35.912577,,,,,0,,,,,,
created_stop_85,Stop 85,31.949462,35.914312,,شارع عبد المنعم رياض,,,0,,,,,,
created_stop_86,Stop 86,31.948556,35.915304,,شارع عبد المنعم رياض,,,0,,,,,,
created_stop_87,Stop 87,31.946414,35.916857,,,,,0,,,,,,
created_stop_88,Stop 88,31.945284,35.918405,,Furniture Box,,,0,,,,,,
created_stop_89,Stop 89,31.944653,35.920105,,مركز الحسين الثقافي,,,0,,,,,,
created_stop_90,Stop 90,31.94436,35.922676,,شارع علي بن أبي طالب,,,0,,,,,,
created_stop_91,Stop 91,31.944637,35.923681,,,,,0,,,,,,
created_stop_92,Stop 92,31.945163,35.925428,,شارع علي بن أبي طالب,,,0,,,,,,
created_stop_93,Stop 93,31.945017,35.927212,,شارع علي بن أبي طالب,,,0,,,,,,
created_stop_94,Stop 94,31.944721,35.928988,,شارع علي بن أبي طالب,,,0,,,,,,
created_stop_95,Stop 95,31.945063,35.930762,,,,,0,,,,,,
created_stop_96,Stop 96,31.946145,35.932317,,,,,0,,,,,,
created_stop_97,Stop 97,31.947245,35.93388,,,,,0,,,,,,
created_stop_98,Stop 98,31.948415,35.935386,,,,,0,,,,,,
created_stop_99,Stop 99,31.950208,35.936432,,Nymphaeum,,,0,,,,,,
created_stop_100,Stop 100,31.954917,35.951593,,شارع الجيش,,,0,,,,,,
created_stop_101,Stop 101,31.955962,35.953162,,شارع الجيش,,,0,,,,,,
created_stop_102,Stop 102,31.957545,35.954425,,شارع الملك عبدالله الأول,,,0,,,,,,
created_stop_103,Stop 103,31.959095,35.955694,,شارع فاطمة بنت الحسين,,,0,,,,,,
created_stop_104,Stop 104,31.959933,35.957312,,شارع الجيش,,,0,,,,,,
created_stop_105,Stop 105,31.94553,35.823954,,,,,0,,,,,,
created_stop_106,Stop 106,31.946002,35.825698,,,,,0,,,,,,
created_stop_107,Stop 107,31.946388,35.82747,,شارع الصناعة,,,0,,,,,,
created_stop_108,Stop 108,31.946713,35.82925,,شارع محمد بن أسلم,,,0,,,,,,
created_stop_109,Stop 109,31.946769,35.831046,,شارع الصناعة,,,0,,,,,,
created_stop_110,Stop 110,31.946609,35.832841,,,,,0,,,,,,
created_stop_111,Stop 111,31.946432,35.834635,,,,,0,,,,,,
created_stop_112,Stop 112,31.946259,35.836429,,,,,0,,,,,,
created_stop_113,Stop 113,31.946075,35.838223,,,,,0,,,,,,
created_stop_114,Stop 114,31.94589,35.840016,,شارع الصناعة,,,0,,,,,,
created_stop_115,Stop 115,31.945774,35.841814,,مسجد يونس إسلام,,,0,,,,,,
created_stop_116,Stop 116,31.945744,35.843613,,,,,0,,,,,,
created_stop_117,Stop 117,31.945667,35.845412,,,,,0,,,,,,
created_stop_118,Stop 118,31.945568,35.847209,,,,,0,,,,,,
created_stop_119,Stop 119,31.945305,35.848996,,شارع الصناعة,,,0,,,,,,
created_stop_120,Stop 120,31.945142,35.850786,,شارع الملكة زين الشرف,,,0,,,,,,
created_stop_121,Stop 121,31.945183,35.852586,,,,,0,,,,,,
created_stop_122,Stop 122,31.945233,35.854385,,,,,0,,,,,,
created_stop_123,Stop 123,31.945309,35.856184,,,,,0,,,,,,
created_stop_124,Stop 124,31.945385,35.857983,,شارع الملكة زين الشرف,,,0,,,,,,
created_stop_125,Stop 125,31.945521,35.859779,,شارع الملكة زين الشرف,,,0,,,,,,
created_stop_126,Stop 126,31.945697,35.861573,,,,,0,,,,,,
created_stop_127,Stop 127,31.945873,35.863367,,,,,0,,,,,,
created_stop_128,Stop 128,31.946049,35.865161,,شارع الملكة زين الشرف,,,0,,,,,,
created_stop_129,Stop 129,31.946225,35.866955,,,,,0,,,,,,
created_stop_130,Stop 130,31.946413,35.868749,,,,,0,,,,,,
created_stop_131,Stop 131,31.946608,35.870542,,شارع الملكة زين الشرف,,,0,,,,,,
created_stop_132,Stop 132,31.946775,35.872336,,,,,0,,,,,,
created_stop_133,Stop 133,31.94686,35.874135,,,,,0,,,,,,
created_stop_134,Stop 134,31.946944,35.875933,,شارع الملكة زين الشرف,,,0,,,,,,
created_stop_135,Stop 135,31.946913,35.877732,,,,,0,,,,,,
created_stop_136,Stop 136,31.946846,35.879531,,شارع عبيد بن التيهان,,,0,,,,,,
created_stop_137,Stop 137,31.94678,35.88133,,,,,0,,,,,,
created_stop_138,Stop 138,31.947718,35.882635,,شارع الأمويين,,,0,,,,,,
created_stop_139,Stop 139,31.948872,35.881714,,,,,0,,,,,,
created_stop_140,Stop 140,31.949465,35.87998,,عبدون الشمالي,,,0,,,,,,
created_stop_141,Stop 141,31.950115,35.878259,,شارع محمود الكرمي,,,0,,,,,,
created_stop_142,Stop 142,31.950964,35.876597,,شارع محمد علي جناح,,,0,,,,,,
created_stop_143,Stop 143,31.952736,35.876668,,شارع محمد علي جناح,,,0,,,,,,
created_stop_144,Stop 144,31.954685,35.87753,,,,,0,,,,,,
created_stop_145,Stop 145,31.956603,35.878436,,,,,0,,,,,,
created_stop_146,Stop 146,31.958473,35.879406,,شارع محمد علي جناح,,,0,,,,,,
created_stop_147,Stop 147,31.951447,35.937376,,فندق برج الأردن,,,0,,,,,,
created_stop_148,Stop 148,31.94728,35.826052,,شارع الهيجاء,,,0,,,,,,
created_stop_149,Stop 149,31.947709,35.824287,,شارع محمد بن أسلم,,,0,,,,,,
created_stop_150,Stop 150,31.952857,35.932215,,دكان كتب,,,0,,,,,,
created_stop_151,Stop 151,31.955004,35.931814,,,,,0,,,,,,
created_stop_152,Stop 152,31.95667,35.930998,,DAR,,,0,,,,,,
created_stop_153,Stop 153,31.957922,35.929511,,شارع الملك الحسين,,,0,,,,,,
created_stop_154,Stop 154,31.958707,35.92787,,العدلية,,,0,,,,,,
created_stop_155,Stop 155,31.958908,35.926078,,,,,0,,,,,,
created_stop_156,Stop 156,31.959158,35.924303,,,,,0,,,,,,
created_stop_157,Stop 157,31.959734,35.921809,,شارع الرازي,,,0,,,,,,
created_stop_158,Stop 158,31.959646,35.920886,,الخطوط الجوية العراقية,,,0,,,,,,
created_stop_159,Stop 159,31.959452,35.919095,,شارع أمية بن عبد شمس,,,0,,,,,,
created_stop_160,Stop 160,31.960386,35.917466,,,,,0,,,,,,
created_stop_161,Stop 161,31.961477,35.915902,,شارع رضوان الشواقفة,,,0,,,,,,
created_stop_162,Stop 162,31.963802,35.914658,,,,,0,,,,,,
created_stop_163,Stop 163,31.964623,35.913572,,شارع العمرية,,,0,,,,,,
created_stop_164,Stop 164,31.963113,35.913771,,شارع أحمد كايد الشوبكي,,,0,,,,,,
created_stop_165,Stop 165,31.961576,35.912474,,شارع مجلس الأمة,,,0,,,,,,
created_stop_166,Stop 166,31.961004,35.910484,,Natural Resources Investment & Development Corporation,,,0,,,,,,
created_stop_167,Stop 167,31.961341,35.909146,,,,,0,,,,,,
created_stop_168,Stop 168,31.961996,35.907426,,,,,0,,,,,,
created_stop_169,Stop 169,31.96265,35.905705,,Dina Center 2,,,0,,,,,,
created_stop_170,Stop 170,31.963291,35.903982,,911 Supermarket & More,,,0,,,,,,
created_stop_171,Stop 171,31.963948,35.902263,,شارع الأمير شاكر بن زيد,,,0,,,,,,
created_stop_172,Stop 172,31.964593,35.900542,,دوار الشميساني,,,0,,,,,,
created_stop_173,Stop 173,31.964997,35.89911,,شارع الأمير شاكر بن زيد,,,0,,,,,,
created_stop_174,Stop 174,31.965627,35.897044,,شارع الأمير شاكر بن زيد,,,0,,,,,,
created_stop_175,Stop 175,31.966962,35.895886,,شارع الشريف عبد الحميد شرف,,,0,,,,,,
created_stop_176,Stop 176,31.968571,35.896139,,شميساني - عطا علي,,,0,,,,,,
created_stop_177,Stop 177,31.97026,35.895569,,شارع رفيق العظم,,,0,,,,,,
created_stop_178,Stop 178,31.97244,35.895916,,شارع فارس الخوري,,,0,,,,,,
created_stop_179,Stop 179,31.97115,35.896536,,شميساني - مجمع النقابات,,,0,,,,,,
created_stop_180,Stop 180,31.96052,35.913777,,موقف حافلة مسجد الملك عبد الله الأول,,,0,,,,,,
created_stop_181,Stop 181,31.960338,35.915911,,,,,0,,,,,,
created_stop_182,Stop 182,31.949805,35.934284,,عصائر طازجة رخيصة,,,0,,,,,,
created_stop_183,Stop 183,31.961535,35.959268,,تكية أم علي,,,0,,,,,,
created_stop_184,Stop 184,31.956326,35.914525,,شارع هاني الشيباني,,,0,,,,,,
created_stop_185,Stop 185,31.956766,35.913522,,,,,0,,,,,,
created_stop_186,Stop 186,31.957138,35.910998,,,,,0,,,,,,
created_stop_187,Stop 187,31.957843,35.909167,,,,,0,,,,,,
created_stop_188,Stop 188,31.958622,35.907628,,,,,0,,,,,,
created_stop_189,Stop 189,31.959421,35.905992,,شارع الشريف الحسين بن علي,,,0,,,,,,
created_stop_190,Stop 190,31.959186,35.904205,,شارع عرار,,,0,,,,,,
created_stop_191,Stop 191,31.959246,35.902405,,,,,0,,,,,,
created_stop_192,Stop 192,31.959355,35.900608,,شارع عبد المنعم الرفاعي,,,0,,,,,,
created_stop_193,Stop 193,31.959783,35.898849,,شارع عرار,,,0,,,,,,
created_stop_194,Stop 194,31.960352,35.897109,,شارع عرار,,,0,,,,,,
created_stop_195,Stop 195,31.96064,35.895335,,شارع الحارث بن عمير,,,0,,,,,,
created_stop_196,Stop 196,31.960566,35.893537,,شارع عرار,,,0,,,,,,
created_stop_197,Stop 197,31.960958,35.891731,,موقف حافلة,,,0,,,,,,
created_stop_198,Stop 198,31.962125,35.890228,,Total,,,0,,,,,,
created_stop_199,Stop 199,31.963508,35.888823,,Housing Bank,,,0,,,,,,
created_stop_200,Stop 200,31.965553,35.887385,,,,,0,,,,,,
created_stop_201,Stop 201,31.966638,35.886601,,شارع الكندي,,,0,,,,,,
created_stop_202,Stop 202,31.965603,35.88503,,ضراغمة شقق فندقيه,,,0,,,,,,
created_stop_203,Stop 203,31.964753,35.883583,,Karadsheh Towers,,,0,,,,,,
created_stop_204,Stop 204,31.966418,35.882192,,,,,0,,,,,,
created_stop_205,Stop 205,31.967749,35.880402,,,,,0,,,,,,
created_stop_206,Stop 206,31.968561,35.879121,,,,,0,,,,,,
created_stop_207,Stop 207,31.970036,35.877812,,شارع نعيم عبد الهادي,,,0,,,,,,
created_stop_208,Stop 208,31.970968,35.876696,,شارع بغداد,,,0,,,,,,
created_stop_209,Stop 209,31.971942,35.875035,,شارع مكة المكرمة,,,0,,,,,,
created_stop_210,Stop 210,31.973069,35.872344,,مطعم راجعين,,,0,,,,,,
created_stop_211,Stop 211,31.97348,35.871485,,شارع مكة المكرمة,,,0,,,,,,
created_stop_212,Stop 212,31.973757,35.870099,,,,,0,,,,,,
created_stop_213,Stop 213,31.974148,35.867673,,شارع مكة المكرمة,,,0,,,,,,
created_stop_214,Stop 214,31.974528,35.8659,,شارع مكة المكرمة,,,0,,,,,,
created_stop_215,Stop 215,31.975061,35.863845,,شارع مكة المكرمة,,,0,,,,,,
created_stop_216,Stop 216,31.975288,35.862353,,,,,0,,,,,,
created_stop_217,Stop 217,31.975667,35.86058,,,,,0,,,,,,
created_stop_218,Stop 218,31.976136,35.85872,,شارع مكة المكرمة,,,0,,,,,,
created_stop_219,Stop 219,31.976427,35.857033,,مركز ديكارت الاستشاري للعيون,,,0,,,,,,
created_stop_220,Stop 220,31.976606,35.85525,,شارع صالح يوسف عبدالله,,,0,,,,,,
created_stop_221,Stop 221,31.976387,35.85346,,شارع عبد الله غوشة,,,0,,,,,,
created_stop_222,Stop 222,31.976118,35.851673,,شارع مكة المكرمة,,,0,,,,,,
created_stop_223,Stop 223,31.975849,35.849887,,شارع مكة المكرمة,,,0,,,,,,
created_stop_224,Stop 224,31.97564,35.847642,,توتال,,,0,,,,,,
created_stop_225,Stop 225,31.975311,35.846314,,شارع مكة المكرمة,,,0,,,,,,
created_stop_226,Stop 226,31.975042,35.844527,,شارع دار الصالحين,,,0,,,,,,
created_stop_227,Stop 227,31.97476,35.842742,,,,,0,,,,,,
created_stop_228,Stop 228,31.974277,35.840986,,شارع الأعيان,,,0,,,,,,
created_stop_229,Stop 229,31.974234,35.839226,,شارع الملك عبدالله بن الحسين الثاني,,,0,,,,,,
created_stop_230,Stop 230,31.975843,35.838029,,شارع محمد الكايد أبو بقار,,,0,,,,,,
created_stop_231,Stop 231,31.977719,35.837067,,شارع الملك عبدالله بن الحسين الثاني,,,0,,,,,,
created_stop_232,Stop 232,31.979458,35.835959,,شارع الملك عبدالله بن الحسين الثاني,,,0,,,,,,
created_stop_233,Stop 233,31.98102,35.834681,,شارع الملك عبدالله بن الحسين الثاني,,,0,,,,,,
created_stop_234,Stop 234,31.982581,35.833401,,شارع الملك عبدالله بن الحسين الثاني,,,0,,,,,,
created_stop_235,Stop 235,31.981827,35.831754,,شارع سعيد خير,,,0,,,,,,
created_stop_236,Stop 236,31.98113,35.830046,,شارع سعيد خير,,,0,,,,,,
created_stop_237,Stop 237,31.980521,35.828762,,المدينة الطبية,,,0,,,,,,
created_stop_238,Stop 238,31.948595,35.933842,,El Cairo,,,0,,,,,,
created_stop_239,Stop 239,31.955688,35.91545,,,,,0,,,,,,
created_stop_240,Stop 240,31.968116,35.886855,,,,,0,,,,,,
created_stop_241,Stop 241,31.970201,35.886181,,شارع الشريف ناصر بن جميل,,,0,,,,,,
created_stop_242,Stop 242,31.972308,35.886278,,,,,0,,,,,,
created_stop_243,Stop 243,31.973958,35.886454,,شارع عبدالله بن رواحة,,,0,,,,,,
created_stop_244,Stop 244,31.976276,35.887775,,شارع عمر بن عبد العزيز,,,0,,,,,,
created_stop_245,Stop 245,31.977943,35.888961,,Bus Rapid Transport,,,0,,,,,,
created_stop_246,Stop 246,31.979302,35.890379,,ملحمة التميمي,,,0,,,,,,
created_stop_247,Stop 247,31.980605,35.891597,,شارع الشريف ناصر بن جميل,,,0,,,,,,
created_stop_248,Stop 248,31.982418,35.893731,,شارع الشريف ناصر بن جميل,,,0,,,,,,
created_stop_249,Stop 249,31.983395,35.891458,,سما باريس,,,0,,,,,,
created_stop_250,Stop 250,31.983704,35.889677,,,,,0,,,,,,
created_stop_251,Stop 251,31.983995,35.887892,,FAME suits,,,0,,,,,,
created_stop_252,Stop 252,31.984328,35.886113,,الكلحة,,,0,,,,,,
created_stop_253,Stop 253,31.984766,35.884349,,,,,0,,,,,,
created_stop_254,Stop 254,31.985204,35.882584,,,,,0,,,,,,
